"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"COL5A1",1.8709050420168,12.1149516129032,10.919542697473,5.61033554198616e-16,1.14978216597464e-11,25.6381466069031
"COL1A2",1.94765231092437,15.1951209677419,10.6740572266953,1.40402630016649e-15,1.43870574978061e-11,24.7786281900857
"COL3A1",1.97549033613445,15.1980548387097,10.3834031552987,4.19615758600651e-15,2.86653511892058e-11,23.750874409579
"COL5A2",1.84481281512605,12.2939322580645,9.87204776414466,2.94312785879989e-14,1.50791155845612e-10,21.9175129905088
"AEBP1",1.72524201680673,12.7519790322581,9.50953413787404,1.18922944871285e-13,4.87441366438423e-10,20.5997223615931
"COL6A3",1.73973214285714,13.529564516129,9.10027539113088,5.8329199418812e-13,1.99233102148189e-09,19.0958755682656
"NID2",1.5859993697479,9.34464516129032,8.97310635042016,9.58595394139469e-13,2.80649342964204e-09,18.6254399056261
"LUM",1.6865319327731,12.8136080645161,8.9191533907123,1.18391478749767e-12,3.03289370687216e-09,18.4254371103964
"COL5A3",1.61879453781513,8.79039032258065,8.88505408884939,1.35304377871377e-12,3.08103102232889e-09,18.2989083071141
"COL10A1",2.52398130252101,9.43095806451613,8.64332458620896,3.49415985676122e-12,6.79942000238047e-09,17.3993643625766
"MMP2",1.72336743697479,12.3603903225806,8.632260815011,3.64953742686567e-12,6.79942000238047e-09,17.3580903976203
"CDH11",1.60689978991597,10.3465209677419,8.58474050634545,4.39975527668123e-12,7.51404872002543e-09,17.1807176627296
"C1QTNF6",1.2161987394958,8.99410483870968,8.50144502321005,6.10760870970405e-12,9.62841022282113e-09,16.8694488609615
"PRSS23",1.40054894957983,10.6019822580645,8.41453282791206,8.60325507416193e-12,1.25939363921339e-08,16.5441979152055
"GLT8D2",1.41661806722689,7.66551935483871,8.3159008338031,1.26971136182855e-11,1.72502386319783e-08,16.1745513857917
"P4HA3",1.93265819327731,6.17514838709677,8.30098297481762,1.34675426032816e-11,1.72502386319783e-08,16.1185964370855
"PPAPDC1A",2.27055945378151,5.71349193548387,8.27068256674925,1.51797397521686e-11,1.82996227341731e-08,16.0049074386446
"NOX4",1.54973319327731,6.66528225806452,8.19161071303976,2.07479276719488e-11,2.36226683171622e-08,15.7080066724003
"THY1",1.27599327731093,11.1845096774194,8.13125241678628,2.63411095762257e-11,2.841235261343e-08,15.4811725918753
"SPARC",1.33120210084033,14.756785483871,8.10392962732374,2.93478151105676e-11,3.00727061437987e-08,15.3784370633373
"CHSY3",1.34186680672269,5.95028387096774,8.07445559770164,3.29780464031005e-11,3.10488094961949e-08,15.2675775236073
"BMP1",1.02185441176471,9.45744677419355,8.07176977767305,3.33304288531418e-11,3.10488094961949e-08,15.2574736844887
"CERCAM",1.16851533613445,9.77004516129033,8.02553822416707,4.00231240914699e-11,3.56623437013298e-08,15.0835097521202
"SRPX2",1.58232457983193,7.61508709677419,7.99686991260723,4.48335963801916e-11,3.82841551756519e-08,14.9755935894912
"ANGPTL2",1.38261323529411,9.74013225806452,7.92770269191698,5.89613519787363e-11,4.83341578980889e-08,14.7151089132031
"HTRA1",1.70225399159664,10.9221548387097,7.89197811971991,6.79250902539118e-11,5.35406461409104e-08,14.5805091999178
"LRRC15",2.10010819327731,10.0423758064516,7.84353320716063,8.22991603633395e-11,6.24681108328252e-08,14.3979235983705
"ITGA11",1.85250756302521,9.14764838709677,7.79398835140141,1.00154742950688e-10,7.33061179296926e-08,14.2111285284702
"DACT1",1.64744852941177,7.58876451612903,7.78487979841515,1.03836686882743e-10,7.33803124474114e-08,14.176780852179
"COL13A1",1.94968424369748,5.17042096774194,7.69748001637631,1.46832280022448e-10,1.00306024892668e-07,13.8471148823058
"EDNRA",1.40956701680672,8.25434193548387,7.606242244106,2.10828505450258e-10,1.39378044861212e-07,13.5028365255256
"NID1",1.29760147058824,10.6781629032258,7.50999228989769,3.08800373842027e-10,1.97767339422453e-07,13.1395515576465
"SFRP2",1.8262993697479,11.8253725806452,7.49603948955283,3.26365925724885e-10,2.02683129751691e-07,13.0868839034284
"VCAN",1.65316386554622,12.2463451612903,7.45933506057698,3.77492649368845e-10,2.27539245769562e-07,12.9483336950674
"TMEM90B",2.10245672268907,5.41618870967742,7.42972153498977,4.24520804722646e-10,2.48575124913883e-07,12.836549772093
"PCOLCE",1.16299495798319,10.1258,7.4191645450187,4.42665720153898e-10,2.51999757467611e-07,12.79670005176
"COL12A1",1.92112836134454,12.3941112903226,7.40981173280016,4.59387390083175e-10,2.54450950604448e-07,12.7613960480125
"ADAMTS12",2.20876407563025,7.14236129032258,7.39192073665307,4.93153044177547e-10,2.61521536098942e-07,12.6938639717039
"FILIP1L",1.39942310924369,9.18131129032258,7.38961849735289,4.97674436803881e-10,2.61521536098942e-07,12.6851739549748
"ADAMTS2",1.59240609243697,8.6329370967742,7.34225213574567,6.00463116127124e-10,3.07647277547732e-07,12.5063927178568
"BMP8A",1.34595,7.47830161290323,7.27604363528039,7.80617959820066e-10,3.90194743135425e-07,12.2565282004063
"POSTN",1.65869075630252,13.0198903225806,7.24729146567286,8.74808447968964e-10,4.26864865063713e-07,12.1480380715694
"ASPN",2.20241533613445,8.72172258064516,7.2389029960573,9.04369112738054e-10,4.31026525498923e-07,12.1163884390915
"ANTXR1",1.27152205882353,11.6463112903226,7.22854895637425,9.42235309634697e-10,4.38867509901215e-07,12.0773243762751
"ADAM12",1.56355273109243,10.1968,7.19481885489727,1.07691828759244e-09,4.81446766174067e-07,11.9500800268268
"CTSK",1.41783886554621,11.2258209677419,7.19394874479109,1.08063585654372e-09,4.81446766174067e-07,11.9467978952494
"ADAMTS14",1.16233088235294,6.19058225806451,7.14545620059187,1.30940581582895e-09,5.70093963638308e-07,11.7639059485965
"SPON1",2.34529600840336,8.80806935483871,7.14052040802595,1.33524496216643e-09,5.70093963638308e-07,11.7452934508601
"SULF1",1.51342016806723,12.0019758064516,7.09590700808347,1.59314425151136e-09,6.6632445490763e-07,11.5770885187657
"OLFML1",1.31496722689076,7.36084677419355,7.06970108769907,1.76722565505891e-09,7.24350451495546e-07,11.4783110437843
"PRDM6",1.50339054621849,3.9399435483871,6.96963089396865,2.625233689738e-09,1.05493214191158e-06,11.1013268745978
"SLIT3",1.96739894957983,8.26513548387097,6.9514808932369,2.82047598386197e-09,1.11159297717821e-06,11.0329920984635
"NTM",1.57255693277311,6.89318064516129,6.93386621951497,3.02379141737103e-09,1.1692373831623e-06,10.9666857793671
"PODN",1.72790462184874,8.60911774193548,6.91180030088519,3.29922129112427e-09,1.25211557667224e-06,10.8836425371692
"FAM26E",1.3409737394958,6.60750483870968,6.85247598206088,4.17009311216946e-09,1.54135540961909e-06,10.6604909335985
"BNC2",1.50771218487395,7.22202419354839,6.84995681876327,4.21176456224597e-09,1.54135540961909e-06,10.6510187286417
"HTRA3",1.78779432773109,9.81263548387096,6.80148094263095,5.09955045732771e-09,1.83351205390306e-06,10.4688103866504
"ECM1",1.48487920168067,9.0395564516129,6.727852656605,6.8169076459157e-09,2.40871905681718e-06,10.1923101720955
"CHRD",1.62576680672269,5.56152096774194,6.71471129683306,7.17911303224607e-09,2.45473581060555e-06,10.1429937908124
"SCG2",1.91513046218487,4.6543935483871,6.71444328619639,7.18669603963761e-09,2.45473581060555e-06,10.1419881232852
"LAMA4",1.252,10.5558306451613,6.69643565703158,7.71489907673775e-09,2.57911655810147e-06,10.0744277927964
"CCRL1",1.40416092436975,5.43614516129032,6.69356707633644,7.8025386260511e-09,2.57911655810147e-06,10.0636674838779
"FBLN1",1.5818224789916,11.4595403225806,6.68106564099289,8.19619636817247e-09,2.66623568840201e-06,10.0167797241247
"ZNF423",1.53241491596639,6.12933870967742,6.67093547919555,8.52964055585779e-09,2.73135083674609e-06,9.97879321379601
"SPOCD1",1.73514621848739,5.45535322580645,6.66668009703989,8.6737072194974e-09,2.73475316548277e-06,9.96283825033617
"PDPN",1.34665651260504,8.51743548387097,6.63144215661667,9.96364728553681e-09,3.09386344651199e-06,9.83076619676426
"C3orf36",1.66939789915966,2.78470483870968,6.56473753576965,1.29507015493365e-08,3.96136832167317e-06,9.58100171667302
