"pathway","pval","padj","log2err","ES","NES","size","pathway_label"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.78628834739691e-47,8.93144173698456e-46,1.79734246412339,0.767519850474228,3.03598146807637,186,"EPITHELIAL MESENCHYMAL TRANSITION"
"HALLMARK_COAGULATION",4.40406768752068e-13,3.67005640626724e-12,0.932595211336209,0.596296892574869,2.26855132087703,135,"COAGULATION"
"HALLMARK_UV_RESPONSE_DN",1.03295033283146e-11,6.45593958019665e-11,0.875325132024659,0.591265171772129,2.24222769168339,133,"UV RESPONSE DN"
"HALLMARK_MYOGENESIS",1.49854025974856e-14,1.8731753246857e-13,0.97599468306432,0.563928162026812,2.23941294977656,195,"MYOGENESIS"
"HALLMARK_ANGIOGENESIS",3.09836198913467e-07,1.10655785326238e-06,0.674962860011025,0.708764472179979,2.21315043708037,36,"ANGIOGENESIS"
"HALLMARK_APICAL_JUNCTION",3.68110995528647e-11,2.04506108627026e-10,0.851339057116899,0.528063423713033,2.08897091497942,191,"APICAL JUNCTION"
"HALLMARK_KRAS_SIGNALING_UP",1.14542172136582e-09,5.20646236984466e-09,0.788186810800237,0.507759615383164,2.00645916108483,190,"KRAS SIGNALING UP"
"HALLMARK_ANDROGEN_RESPONSE",5.98457212569116e-07,1.99485737523039e-06,0.659444398037935,0.543683496869676,2.00170839307574,97,"ANDROGEN RESPONSE"
"HALLMARK_TGF_BETA_SIGNALING",9.07485248978717e-05,0.000238811907625978,0.538434096309916,0.569274788297037,1.90586206272758,53,"TGF BETA SIGNALING"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",2.57232920902366e-07,9.89357388086023e-07,0.674962860011025,0.472138791695992,1.86570017622823,190,"ESTROGEN RESPONSE EARLY"
"HALLMARK_HEDGEHOG_SIGNALING",0.000853938431565553,0.0017790383990949,0.477270815362862,0.596794607467124,1.86006270243212,35,"HEDGEHOG SIGNALING"
"HALLMARK_HYPOXIA",4.76321224590683e-06,1.3231145127519e-05,0.610526878385931,0.452290369799721,1.78941778205824,189,"HYPOXIA"
"HALLMARK_IL2_STAT5_SIGNALING",0.000482757619545102,0.00114942290367882,0.49849310876659,0.412740576271036,1.63274731045896,192,"IL2 STAT5 SIGNALING"
"HALLMARK_APICAL_SURFACE",0.00795499242695437,0.0142053436195614,0.380730400722792,0.503046155680715,1.62330871950446,43,"APICAL SURFACE"
