"pathway","NES","padj","Scenario"
"HALLMARK_ANGIOGENESIS",2.21315043708037,1.10655785326238e-06,"Reference"
"HALLMARK_E2F_TARGETS",-3.17363088203118,3.37464630426083e-28,"Reference"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3.03598146807637,8.93144173698456e-46,"Reference"
"HALLMARK_G2M_CHECKPOINT",-2.42799327066229,4.74085335873582e-13,"Reference"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-2.67204244494935,5.03524303054556e-12,"Reference"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-2.01536760549416,1.76147946694262e-07,"Reference"
"HALLMARK_MYC_TARGETS_V1",-3.07317439507099,1.20238026311782e-25,"Reference"
"HALLMARK_TGF_BETA_SIGNALING",1.90586206272758,0.000238811907625978,"Reference"
"HALLMARK_ANGIOGENESIS",2.45250327446978,1.32317171741446e-10,"P40"
"HALLMARK_E2F_TARGETS",-3.69426944671161,2.5e-49,"P40"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3.18899405275056,2.5e-49,"P40"
"HALLMARK_G2M_CHECKPOINT",-3.1135068322252,5.15387190781429e-29,"P40"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-2.60435163861146,1.38380027331949e-10,"P40"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-1.73736089837272,1.60931293410989e-05,"P40"
"HALLMARK_MYC_TARGETS_V1",-3.44424518987586,1.2138496855086e-39,"P40"
"HALLMARK_TGF_BETA_SIGNALING",1.9286593579237,0.000241857328063248,"P40"
"HALLMARK_ANGIOGENESIS",2.15584492495861,3.20140434802053e-06,"P60"
"HALLMARK_E2F_TARGETS",-2.51798714213496,7.52726905989702e-16,"P60"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3.03055203414363,3.24483937678503e-45,"P60"
"HALLMARK_G2M_CHECKPOINT",-1.80658335761655,1.94979967092844e-06,"P60"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-1.95152488812801,3.20675983205926e-05,"P60"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-1.28824252072582,0.017852421811289,"P60"
"HALLMARK_MYC_TARGETS_V1",-2.67021356762786,1.19901773717402e-18,"P60"
"HALLMARK_TGF_BETA_SIGNALING",1.87243883870374,0.000326975271063531,"P60"
