"pathway","NES","pval","padj","size"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3.72943420597927,1e-50,2.5e-49,192
"HALLMARK_ANGIOGENESIS",2.7961934461513,1.78974302237992e-11,6.88362700915353e-11,36
"HALLMARK_COAGULATION",2.67379952926675,1.06453807818465e-15,8.87115065153878e-15,136
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",2.62039954368117,2.36305597273311e-18,2.36305597273311e-17,197
"HALLMARK_APICAL_JUNCTION",2.4583764524333,1.55033190717837e-15,1.10737993369883e-14,196
"HALLMARK_MYOGENESIS",2.43083252670618,8.60018749884049e-15,4.77788194380027e-14,197
"HALLMARK_KRAS_SIGNALING_UP",2.3963739919648,1.22952519383312e-13,5.58875088105965e-13,195
"HALLMARK_HYPOXIA",2.32277813819674,2.95903796148941e-12,1.23293248395392e-11,198
"HALLMARK_UV_RESPONSE_DN",2.30904854841229,8.45784883263346e-11,3.02066029736909e-10,140
"HALLMARK_INFLAMMATORY_RESPONSE",2.20123432996278,9.15747406026676e-11,3.05249135342225e-10,195
"HALLMARK_COMPLEMENT",1.95654495781934,1.77562056327772e-07,5.22241342140505e-07,190
"HALLMARK_APOPTOSIS",1.85848443383794,4.39240681619107e-06,1.22011300449752e-05,157
"HALLMARK_IL2_STAT5_SIGNALING",1.7509635964995,1.95992421408994e-05,4.89981053522484e-05,197
"HALLMARK_TGF_BETA_SIGNALING",1.74767141830334,0.00300844990862853,0.00578548059351641,52
"HALLMARK_IL6_JAK_STAT3_SIGNALING",1.69677258705242,0.00296869004921396,0.00578548059351641,83
"HALLMARK_NOTCH_SIGNALING",1.62795195619951,0.0119429718101727,0.019262857758343,32
"HALLMARK_P53_PATHWAY",1.58780769014995,0.000266850416557761,0.000606478219449456,196
"HALLMARK_APICAL_SURFACE",1.56282243856601,0.00894861511156156,0.0149143585192693,44
"HALLMARK_XENOBIOTIC_METABOLISM",1.55084405115471,0.000538828266326914,0.00112255888818107,196
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.54789844762772,0.00663237384219135,0.0122414695901448,74
"HALLMARK_ANDROGEN_RESPONSE",1.40747223999313,0.0255265150580145,0.0398851797781476,101
"HALLMARK_ESTROGEN_RESPONSE_EARLY",1.38993136678707,0.00738166762055309,0.0127270131388846,194
"HALLMARK_PROTEIN_SECRETION",1.28273674925614,0.0755555555555556,0.111111111111111,96
"HALLMARK_ADIPOGENESIS",1.24205438114385,0.0706150341685649,0.106992476012977,198
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.15407593153212,0.164759725400458,0.22883295194508,188
"HALLMARK_ESTROGEN_RESPONSE_LATE",1.1520658730641,0.158482142857143,0.22640306122449,195
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",1.13821061474884,0.243847874720358,0.312625480410715,42
"HALLMARK_UV_RESPONSE_UP",1.13020372991523,0.182222222222222,0.246246246246246,157
"HALLMARK_GLYCOLYSIS",1.12806662186811,0.191343963553531,0.251768373096751,198
"HALLMARK_HEDGEHOG_SIGNALING",1.02536112350925,0.440087145969499,0.536691641426218,36
"HALLMARK_HEME_METABOLISM",0.997782698050289,0.473922902494331,0.56419393154087,197
"HALLMARK_ALLOGRAFT_REJECTION",0.948196760676609,0.584269662921348,0.663942798774259,181
"HALLMARK_KRAS_SIGNALING_DN",0.914600939754641,0.702947845804989,0.764073745440205,197
"HALLMARK_PANCREAS_BETA_CELLS",0.79186645739896,0.842105263157895,0.87719298245614,40
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.688555778436466,0.954853273137698,0.954853273137698,48
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-0.790380824740529,0.885869565217391,0.903948535936114,96
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",-0.87451223160415,0.744227353463588,0.791731227088923,104
"HALLMARK_BILE_ACID_METABOLISM",-0.895761683873438,0.694545454545455,0.764073745440205,111
"HALLMARK_FATTY_ACID_METABOLISM",-0.970661836943531,0.532490974729242,0.619175552010746,156
"HALLMARK_PEROXISOME",-1.09580146257437,0.269982238010657,0.337477797513321,104
"HALLMARK_SPERMATOGENESIS",-1.47509484702748,0.0068552229704811,0.0122414695901448,134
"HALLMARK_MTORC1_SIGNALING",-1.66081754666876,8.60103942811395e-05,0.000204786653050332,198
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",-1.68857366712594,0.000404634898090767,0.000879641082806015,112
"HALLMARK_MITOTIC_SPINDLE",-1.74352227407656,1.75980755220791e-05,4.6310725058103e-05,196
"HALLMARK_DNA_REPAIR",-2.12425782434374,9.6317457640683e-09,3.00992055127134e-08,148
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",-2.33646079588437,4.85484409691694e-14,2.42742204845847e-13,194
"HALLMARK_G2M_CHECKPOINT",-2.85231051938406,1.66304196876133e-25,2.07880246095167e-24,198
"HALLMARK_MYC_TARGETS_V2",-2.85875606145348,5.24694059768189e-15,3.27933787355118e-14,55
"HALLMARK_MYC_TARGETS_V1",-3.27014535012903,1.29586171458938e-40,2.15976952431564e-39,198
"HALLMARK_E2F_TARGETS",-3.45789481916027,1e-50,2.5e-49,199
