"Gene","logFC_TCGA","adjP_TCGA","logFC_METABRIC","adjP_METABRIC","Concordant"
"SPON1",2.34529600840336,5.70093963638308e-07,1.46291909090909,0.0087244328339485,TRUE
"SFRP4",2.23550903361345,1.16547384421774e-05,1.19618136363636,0.0457962046607804,TRUE
"EDIL3",2.11309222689076,0.000350149795200643,0.949810909090909,0.010213592698396,TRUE
"COL3A1",1.97549033613445,2.86653511892058e-11,1.28853727272727,0.00362573183209944,TRUE
"CORIN",1.95206911764706,7.4382778491529e-05,1.18339136363636,0.0336693706242428,TRUE
"COL1A2",1.94765231092437,1.43870574978061e-11,1.23474772727273,0.00460541045249674,TRUE
"COL12A1",1.92112836134454,2.54450950604448e-07,1.29802227272727,0.0058012489272583,TRUE
"SCG2",1.91513046218487,2.45473581060555e-06,1.20261863636364,0.0389230784116933,TRUE
"COL5A1",1.8709050420168,1.14978216597464e-11,1.52060681818182,0.00224157402997478,TRUE
"ITGA11",1.85250756302521,7.33061179296926e-08,1.21978,0.0087244328339485,TRUE
"COL5A2",1.84481281512605,1.50791155845612e-10,1.42294590909091,0.00121574414594156,TRUE
"MFAP5",1.84301134453782,5.68239908517116e-06,1.38008727272727,0.0119404409137741,TRUE
"SFRP2",1.8262993697479,2.02683129751691e-07,1.13937636363636,0.034518828098221,TRUE
"FLNC",1.80773697478991,0.00120030607422704,1.67215409090909,0.00802345632851018,TRUE
"SPOCK1",1.80583949579832,0.000141264508269166,1.401125,0.00400982895954679,TRUE
"COL6A3",1.73973214285714,1.99233102148189e-09,1.18329454545455,0.0168229641958084,TRUE
"PODN",1.72790462184874,1.25211557667224e-06,1.45989909090909,0.0204139882319279,TRUE
"AEBP1",1.72524201680673,4.87441366438423e-10,1.43092590909091,0.00127347369653936,TRUE
"PCDH7",1.72354915966386,1.08794094197526e-05,1.01688636363636,0.0486343820806524,TRUE
"MMP2",1.72336743697479,6.79942000238047e-09,1.57969181818182,0.0236861323631328,TRUE
"RGS4",1.71727163865546,6.95553401453513e-05,1.39000818181818,0.00781474873306363,TRUE
"HTRA1",1.70225399159664,5.35406461409104e-08,1.50997227272727,0.00362573183209944,TRUE
"LUM",1.6865319327731,3.03289370687216e-09,0.870662727272727,0.0119404409137741,TRUE
"POSTN",1.65869075630252,4.26864865063713e-07,1.33317136363636,0.00127347369653936,TRUE
"CPZ",1.65574411764706,1.07823423825751e-05,1.60825590909091,0.0211829671470349,TRUE
"VCAN",1.65316386554622,2.27539245769562e-07,1.37328090909091,0.00127347369653936,TRUE
"DACT1",1.64744852941177,7.33803124474114e-08,1.66193090909091,0.00127347369653936,TRUE
"COL5A3",1.61879453781513,3.08103102232889e-09,1.43689136363636,0.0389230784116933,TRUE
"FBN1",1.61832016806723,3.98004760192095e-06,1.61761,0.00127347369653936,TRUE
"CDH11",1.60689978991597,7.51404872002543e-09,1.31266272727273,0.00152809769603082,TRUE
"SSC5D",1.59680294117647,6.78636442433779e-06,1.24879863636364,0.038900885799436,TRUE
"ADAMTS2",1.59240609243697,3.07647277547732e-07,1.58990136363636,0.00746204736341216,TRUE
"CNN1",1.58606995798319,0.0161230195793236,1.18079,0.0399759860813591,TRUE
"SRPX2",1.58232457983193,3.82841551756519e-08,1.37875272727273,0.0200575412281836,TRUE
"FBLN1",1.5818224789916,2.66623568840201e-06,1.09530909090909,0.0391828900405246,TRUE
"NTM",1.57255693277311,1.1692373831623e-06,1.52509636363636,0.00234914001971509,TRUE
"SGCD",1.55939180672269,7.28683573417219e-06,1.33595136363636,0.007227113260414,TRUE
"NOX4",1.54973319327731,2.36226683171622e-08,1.21461545454545,0.0204139882319279,TRUE
"SULF1",1.51342016806723,6.6632445490763e-07,1.06426727272727,0.0327943206393402,TRUE
"BNC2",1.50771218487395,1.54135540961909e-06,1.56991545454545,0.00400982895954679,TRUE
