"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KIAA0355",-0.549895454545454,-0.634659523809524,-1.3357416583892,0.18792397085039,0.570364919483457,-5.222477387594
"RN7SL1",-0.626943181818181,-0.71007619047619,-1.46277509540187,0.150037114095215,0.528859385886634,-5.05764143970478
"PSAP",-0.234018181818182,0.518080952380952,-0.755068107815843,0.453891957677143,0.786382619757006,-5.79489321451854
"NDUFS3",-0.57819409090909,-0.289871428571429,-1.62166399324475,0.111417188729065,0.470867782647508,-4.83241322343583
"SLC7A5P2",-0.336637272727272,-0.39967619047619,-0.804214024050598,0.42523295546199,0.769655649802975,-5.75831958432773
"CDC26",0.245242727272727,0.635309523809524,0.802658965643034,0.426122757986681,0.770702337771839,-5.75951119930511
"UBC",-0.434459090909091,-0.247326190476191,-1.31295681737635,0.195431237169831,0.578193242552989,-5.25058278096115
"MACROH2A2",-0.141904545454546,0.107630952380952,-0.52588844384542,0.601383627234487,0.867085184994486,-5.93556597450553
"LSM1",0.0294495454545454,0.103519047619048,0.131108217202577,0.89623689630184,0.970649586667932,-6.06060107241902
"CRYZL1",-0.0455618181818184,0.0989857142857143,-0.189255837515596,0.850689167878697,0.955288624900645,-6.05159717296426
"IMPA1",-0.0890504545454545,0.180040476190476,-0.299951164292014,0.76550772604548,0.929119666628084,-6.02544359118791
"SRXN1",0.19455,-0.348807142857143,0.604175491194552,0.548568062503249,0.841396107045987,-5.89307866945865
"TMEM181",0.303670454545455,-0.838690476190476,1.57017205156662,0.12293507628685,0.486232759115556,-4.90768861749385
"PUF60",-0.746736818181818,-0.191207142857143,-2.29219839085589,0.0263147126260506,0.259185908628995,-3.66416143626476
"EIF2A",-0.261939090909091,-0.19022380952381,-0.878607131992209,0.383985205387065,0.742326065526748,-5.69870128770045
"ITGAX",0.961322272727272,1.26189523809524,1.86064481092102,0.0689173117374518,0.390045091471867,-4.45516829606116
"CEND1",-0.269175454545454,0.0329666666666666,-0.852307113036815,0.398270353150997,0.75108014874465,-5.72036170969442
"FOXJ2",0.366597272727273,-0.332257142857143,1.08808763178404,0.281982041433728,0.663972756437738,-5.50363603676163
"SUMF2",0.0864559090909088,0.248628571428571,0.26679109768938,0.790771237366378,0.937758274588861,-6.03451641124871
"C5orf15",0.474305,-0.284790476190476,1.97516328165327,0.0540072924508193,0.353697820933804,-4.25862889054836
"PIAS4",-0.0169854545454542,-0.685092857142857,-0.0668492293338998,0.946979009830025,0.986389556342269,-6.06675156106827
"YDJC",-0.990471363636363,-0.0231666666666667,-2.75869233644054,0.00818466119501621,0.159225306555817,-2.66597299228582
"CELSR2",0.00674409090909145,-1.19544761904762,0.0308970706581984,0.975479558374286,0.993495171839757,-6.0684510031589
"GPR84",0.755606818181816,1.57863095238095,1.71263262767241,0.0932246149867547,0.438822042647576,-4.69416555084605
"TGFBI",1.03593590909091,1.1021119047619,3.28878941501461,0.00188689870375269,0.0778833706342057,-1.37755473252892
"ATP6V1FNB",-0.0265090909090909,0.0303857142857143,-0.0865851650435585,0.931360933125477,0.981524865511955,-6.06528725988216
"UBXN4",-0.196561818181818,-0.747919047619048,-0.686174626617045,0.495899588593055,0.812524571350947,-5.84237187193486
"LINC01624",-0.221195454545455,0.108664285714286,-0.691261653189218,0.492726239404806,0.810426182763397,-5.83901794949158
"MTCH2",-0.158658181818181,-0.797283333333333,-0.507703829014819,0.613982837088125,0.871985095548488,-5.94460302117405
"DCTD",0.372784090909091,0.0683071428571429,1.28193627777391,0.206013665623535,0.586513623036719,-5.2881256637735
"COMMD6",0.0207409090909089,0.241285714285714,0.093856527681766,0.92561325822877,0.97957687703855,-6.06465283233309
"ZNF594",-0.858213181818181,-0.448604761904762,-2.1297278656933,0.0383413889663298,0.30466778846906,-3.97782954412427
"CEP350",-0.130868181818181,-0.45285,-0.51025651392739,0.612206979251315,0.871985095548488,-5.94335340154749
"OXA1L",-0.500583181818182,0.0617452380952381,-1.46069554888376,0.150604986065411,0.529943085153907,-5.06044994224533
"ALDH1A2",0.933263636363636,0.707047619047619,1.8867821409329,0.0652372224340056,0.382237903630746,-4.41119144229411
"SLC16A1",-0.890817727272727,0.25932380952381,-3.25994666017719,0.00205076076908671,0.0813001614618421,-1.45137997093834
"RPL32",-0.620395454545454,-0.373130952380952,-1.91658886096286,0.061245796141237,0.371830646772841,-4.36040192468117
"GPR137B",0.927683181818181,0.535285714285714,2.54981141615147,0.0140214026651124,0.199036224325223,-3.13003715997284
"JPX",-0.614418636363636,-0.802116666666667,-2.3548693339876,0.0226599844739401,0.245275154119445,-3.53827884669711
"RAB11FIP3",0.380763636363636,-1.23699761904762,1.53172691775766,0.132145302693184,0.502245940325661,-4.96246930293891
"BCYRN1",-0.339255,-0.48415,-1.17955158391949,0.24398369811497,0.626164816769017,-5.40608295711179
"COL6A1",1.35819727272727,0.392583333333333,4.3927400984534,6.13762518487312e-05,0.0119404409137741,1.69988299926053
"DKFZp434C0631",-0.0799072727272728,-0.16107380952381,-0.219464569715325,0.827217468536214,0.94916872017343,-6.04563140226192
"OR2F1",0.299734545454545,-0.13897380952381,0.993564341161457,0.325410360633924,0.695637717043777,-5.59658433795149
"DOCK11",0.419814545454544,1.38055714285714,1.21860231664454,0.228942199453925,0.610422538874203,-5.36217643803328
"TRA2A",-0.198890454545454,-0.129114285714286,-0.843471170964965,0.403142896106292,0.75527372629426,-5.72749583532394
"DSEL",0.617445,-0.302278571428571,3.17548278547484,0.00261148549417112,0.0933938810560424,-1.66524882162231
"COL3A1",1.28853727272727,0.239211904761905,5.08283578293216,6.05803146549614e-06,0.00362573183209944,3.80190273688925
"SYNE4",-0.584064999999999,-1.57967619047619,-1.27177521862328,0.209571797021239,0.590619848899822,-5.30024167118462
"CAVIN1",1.52267681818182,0.201852380952381,5.14123165319903,4.95957584911939e-06,0.00345258302713159,3.98376608526931
"TTC23",0.929365909090909,-0.0021357142857143,2.94701662053062,0.00493753671881713,0.126065162724228,-2.22552798042793
"WDR1",0.139180909090909,0.978485714285714,0.475604270632829,0.636510655687319,0.881432941004007,-5.95978750652911
"OSGEP",-0.533169545454545,-0.0642357142857143,-1.82621119562204,0.0740327170198172,0.401855331490477,-4.51229900331342
"TRIM62",0.218063181818182,-0.0923285714285714,0.623441985877721,0.535941327325484,0.834400197253245,-5.88173372189228
"ASIC4",-0.2616,0.357728571428571,-0.711433906661863,0.480253780262387,0.802390820227894,-5.82547949496469
"MZT2A",-0.0475181818181816,-0.426909523809524,-0.15151774599481,0.880201437867155,0.965460277013731,-6.05781263403879
"SNX3",-0.226629545454546,0.924535714285714,-1.37711719570161,0.174855560553861,0.557271884107005,-5.17029911354551
"IFRD1",-1.09529636363636,0.695466666666667,-2.39751049174559,0.0204403797113304,0.234862386643626,-3.45111377839606
"FAR2P2",0.222089545454546,-0.465597619047619,1.42330663177534,0.16110574444876,0.541586296499402,-5.1103229986209
"ZSCAN5B",-0.341311363636363,-0.146092857142857,-1.3543335456073,0.181962503770477,0.565043532271723,-5.19921297050128
"TRAF2",-0.539796363636363,-0.501409523809524,-1.86404113733172,0.0684293822096697,0.388849343363465,-4.44948358900322
"C12orf66",-0.102030909090908,-0.718495238095238,-0.413477612487279,0.681095629781113,0.900325774354676,-5.98638508379926
"CNTNAP4",-0.775672727272727,0.347704761904762,-2.21829098736089,0.0312927136238252,0.281006320993864,-3.80914663116859
"PRSS27",-0.324058181818182,-0.189745238095238,-1.07912002764487,0.285919430552208,0.667349599107906,-5.5127992162994
"MAFG",0.469857272727272,0.171364285714286,1.58906296402416,0.118602709302275,0.481877422366395,-4.88032448155227
"ING5",-0.295594999999999,-0.970759523809524,-1.37904698112974,0.174263551957517,0.556773279758755,-5.1678297003528
